ID,Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Class_number_of_rings,Shell_humidity_weight
6109,F,0.58,0.455,0.12,1.0735,0.479,0.2735,0.265,10,0.329
6110,M,0.505,0.385,0.105,0.5525,0.239,0.1245,0.1555,9,0.158
6111,F,0.625,0.475,0.175,1.1435,0.4755,0.2475,0.349,10,0.319
6112,I,0.44,0.35,0.125,0.456,0.21,0.0955,0.131,8,0.115
6113,M,0.625,0.48,0.18,1.223,0.565,0.2975,0.3375,10,0.321
6114,M,0.58,0.45,0.155,0.8275,0.321,0.1975,0.2445,8,0.262
6115,M,0.65,0.495,0.18,1.793,0.8005,0.339,0.53,14,0.462
6116,M,0.59,0.44,0.15,0.8725,0.387,0.215,0.245,8,0.241
6117,M,0.465,0.36,0.115,0.5795,0.295,0.1395,0.12,7,0.165
6118,M,0.635,0.495,0.17,1.3695,0.657,0.3055,0.365,10,0.347
6119,M,0.58,0.43,0.13,0.798,0.365,0.173,0.2285,10,0.205
6120,M,0.65,0.525,0.205,1.4275,0.69,0.306,0.4355,13,0.302
6121,I,0.47,0.355,0.18,0.48,0.2055,0.105,0.1505,8,0.124
6122,F,0.495,0.37,0.12,0.594,0.28,0.11,0.1375,7,0.176
6123,F,0.45,0.38,0.165,0.8165,0.25,0.1915,0.265,23,0.301
6124,F,0.53,0.42,0.14,0.627,0.2905,0.1165,0.183,8,0.154
6125,M,0.65,0.545,0.16,1.2425,0.487,0.296,0.48,15,0.275
6126,M,0.385,0.305,0.09,0.2775,0.109,0.0515,0.1,9,0.069
6127,M,0.645,0.505,0.165,1.307,0.4335,0.262,0.52,10,0.353
6128,F,0.55,0.47,0.15,0.897,0.377,0.184,0.29,9,0.23
6129,M,0.535,0.43,0.14,0.7165,0.2855,0.1595,0.2155,8,0.216
6130,F,0.57,0.465,0.18,0.9995,0.405,0.277,0.295,16,0.3
6131,M,0.355,0.26,0.085,0.1905,0.081,0.0485,0.055,6,0.054
6132,M,0.55,0.44,0.16,0.991,0.348,0.168,0.375,20,0.268
6133,M,0.515,0.38,0.135,0.6615,0.2875,0.2095,0.155,10,0.219
6134,I,0.45,0.34,0.12,0.4925,0.241,0.1075,0.12,6,0.132
6135,I,0.495,0.375,0.115,0.507,0.241,0.103,0.15,8,0.116
6136,F,0.555,0.44,0.14,0.846,0.346,0.1715,0.2735,10,0.226
6137,I,0.53,0.43,0.16,0.7245,0.321,0.1275,0.24,9,0.164
6138,F,0.56,0.445,0.18,0.903,0.3575,0.2045,0.295,9,0.251
6139,M,0.59,0.455,0.145,1.073,0.475,0.19,0.285,14,0.313
6140,F,0.61,0.475,0.16,1.1155,0.3835,0.223,0.379,10,0.353
6141,F,0.54,0.415,0.15,0.8115,0.3875,0.1875,0.2035,9,0.221
6142,M,0.525,0.4,0.17,0.7305,0.279,0.2055,0.195,11,0.257
6143,I,0.405,0.285,0.09,0.2645,0.1265,0.0505,0.075,6,0.063
6144,I,0.55,0.415,0.135,0.8095,0.2985,0.2015,0.28,12,0.231
6145,I,0.385,0.265,0.08,0.251,0.124,0.037,0.07,6,0.057
6146,I,0.43,0.33,0.1,0.449,0.254,0.0825,0.097,6,0.098
6147,M,0.63,0.51,0.17,1.1885,0.4915,0.3065,0.348,7,0.349
6148,F,0.375,0.295,0.11,0.3005,0.1255,0.0575,0.1035,7,0.071
6149,M,0.66,0.505,0.165,1.374,0.589,0.351,0.345,10,0.44
6150,F,0.665,0.505,0.16,1.2915,0.631,0.2925,0.32,11,0.341
6151,M,0.73,0.595,0.23,2.8255,1.1465,0.419,0.897,17,0.782
6152,M,0.655,0.535,0.205,1.6445,0.7305,0.3595,0.46,13,0.454
6153,F,0.69,0.58,0.195,1.658,0.708,0.3615,0.4715,10,0.478
6154,I,0.495,0.375,0.115,0.507,0.241,0.103,0.15,8,0.116
6155,F,0.515,0.375,0.11,0.6065,0.3005,0.131,0.15,6,0.156
6156,F,0.625,0.485,0.16,1.254,0.591,0.259,0.3485,9,0.315
6157,M,0.475,0.385,0.12,0.562,0.289,0.0905,0.153,8,0.12
6158,M,0.585,0.475,0.12,0.945,0.41,0.2115,0.28,14,0.255
6159,F,0.55,0.465,0.15,1.082,0.3575,0.194,0.19,14,0.535
6160,M,0.61,0.47,0.16,1.022,0.449,0.2345,0.2945,9,0.278
6161,M,0.53,0.425,0.13,0.7455,0.2995,0.1355,0.245,10,0.201
6162,I,0.52,0.41,0.14,0.699,0.3395,0.129,0.1945,10,0.165
6163,F,0.35,0.265,0.09,0.1855,0.0745,0.0415,0.06,7,0.051
6164,I,0.46,0.37,0.11,0.3965,0.1485,0.0855,0.1455,8,0.103
6165,I,0.475,0.355,0.105,0.468,0.201,0.1115,0.12,8,0.147
6166,F,0.605,0.485,0.165,1.0105,0.435,0.209,0.3,19,0.275
6167,I,0.44,0.32,0.095,0.3275,0.1495,0.059,0.1,8,0.078
6168,M,0.615,0.495,0.155,1.2865,0.435,0.293,0.3245,11,0.527
6169,I,0.36,0.265,0.09,0.2055,0.096,0.037,0.0585,7,0.051
6170,F,0.63,0.48,0.16,1.199,0.5265,0.335,0.315,11,0.358
6171,M,0.475,0.37,0.125,0.537,0.222,0.1215,0.15,9,0.165
6172,M,0.51,0.4,0.13,0.6435,0.27,0.1665,0.205,12,0.168
6173,M,0.63,0.47,0.155,1.1325,0.589,0.211,0.287,8,0.257
6174,I,0.56,0.435,0.13,0.777,0.354,0.173,0.222,9,0.201
6175,I,0.38,0.285,0.09,0.2305,0.1005,0.039,0.0775,7,0.053
6176,M,0.565,0.445,0.14,0.836,0.406,0.1605,0.2245,9,0.205
6177,I,0.365,0.255,0.08,0.1985,0.0785,0.0345,0.053,5,0.067
6178,F,0.545,0.43,0.14,0.832,0.4355,0.17,0.201,9,0.195
6179,M,0.57,0.45,0.16,0.8615,0.3725,0.2175,0.255,12,0.234
6180,M,0.565,0.435,0.185,0.9815,0.329,0.136,0.39,13,0.263
6181,I,0.47,0.37,0.12,0.4705,0.1845,0.1055,0.155,12,0.131
6182,F,0.7,0.55,0.17,1.684,0.7535,0.3265,0.32,11,0.611
6183,M,0.505,0.39,0.115,0.5585,0.2575,0.119,0.1535,8,0.147
6184,I,0.355,0.26,0.09,0.1985,0.0715,0.0495,0.058,7,0.069
6185,I,0.265,0.205,0.07,0.1055,0.039,0.041,0.035,5,0.032
6186,F,0.7,0.575,0.17,1.31,0.5095,0.314,0.42,14,0.381
6187,I,0.565,0.435,0.145,0.8445,0.3975,0.158,0.255,9,0.192
6188,I,0.575,0.45,0.135,0.807,0.3615,0.176,0.254,10,0.192
6189,M,0.48,0.36,0.1,0.439,0.194,0.099,0.115,8,0.13
6190,F,0.37,0.275,0.085,0.2405,0.104,0.0535,0.07,5,0.067
6191,I,0.4,0.3,0.09,0.2815,0.1185,0.061,0.08,7,0.083
6192,F,0.44,0.345,0.105,0.4285,0.165,0.083,0.132,11,0.131
6193,M,0.64,0.505,0.18,1.297,0.59,0.3125,0.363,11,0.344
6194,M,0.535,0.42,0.145,0.791,0.33,0.189,0.25,10,0.211
6195,I,0.44,0.31,0.115,0.3625,0.134,0.082,0.12,11,0.108
6196,F,0.545,0.42,0.175,0.754,0.256,0.1775,0.275,10,0.223
6197,M,0.63,0.515,0.175,1.1955,0.492,0.247,0.37,11,0.334
6198,I,0.295,0.215,0.07,0.121,0.047,0.0155,0.0405,6,0.033
6199,I,0.525,0.4,0.125,0.6965,0.369,0.1385,0.164,9,0.164
6200,M,0.605,0.47,0.16,1.1735,0.4975,0.2405,0.345,12,0.331
6201,M,0.59,0.465,0.135,0.9895,0.4235,0.199,0.28,8,0.286
6202,I,0.505,0.425,0.125,0.6115,0.245,0.1375,0.2,9,0.167
6203,M,0.69,0.505,0.2,1.872,0.893,0.4015,0.48,10,0.499
6204,I,0.27,0.195,0.065,0.1065,0.0475,0.0225,0.0285,5,0.03
6205,F,0.625,0.5,0.175,1.273,0.564,0.302,0.374,9,0.335
6206,I,0.405,0.305,0.105,0.3625,0.1565,0.0705,0.125,10,0.081
6207,F,0.59,0.46,0.16,1.0115,0.445,0.2615,0.2565,8,0.31
6208,I,0.455,0.355,0.08,0.452,0.2165,0.0995,0.125,9,0.111
6209,F,0.67,0.525,0.19,1.527,0.5755,0.353,0.44,12,0.511
6210,I,0.33,0.205,0.095,0.1595,0.077,0.032,0.0435,5,0.039
6211,I,0.505,0.38,0.12,0.594,0.2595,0.1435,0.18,7,0.154
6212,M,0.605,0.445,0.14,0.982,0.4295,0.2085,0.295,12,0.258
6213,M,0.55,0.45,0.155,0.7895,0.343,0.159,0.25,12,0.196
6214,F,0.57,0.435,0.14,0.8585,0.3905,0.196,0.2295,8,0.239
6215,M,0.505,0.38,0.13,0.656,0.227,0.1785,0.22,13,0.209
6216,F,0.385,0.305,0.105,0.3315,0.1365,0.0745,0.1,7,0.095
6217,I,0.44,0.32,0.095,0.3275,0.1495,0.059,0.1,8,0.078
6218,M,0.705,0.56,0.165,1.675,0.797,0.4095,0.388,10,0.49
6219,M,0.49,0.38,0.135,0.5415,0.2175,0.095,0.19,11,0.134
6220,F,0.66,0.515,0.17,1.337,0.615,0.3125,0.3575,10,0.364
6221,I,0.455,0.36,0.115,0.457,0.2085,0.0855,0.147,10,0.102
6222,M,0.4,0.32,0.095,0.303,0.1335,0.06,0.1,7,0.069
6223,M,0.575,0.45,0.165,0.9215,0.3275,0.225,0.256,12,0.338
6224,F,0.525,0.44,0.125,0.7115,0.3205,0.159,0.1915,7,0.2
6225,F,0.575,0.485,0.165,1.0405,0.419,0.264,0.3,14,0.321
6226,F,0.455,0.365,0.11,0.385,0.166,0.046,0.1345,13,0.084
6227,M,0.52,0.425,0.155,0.7735,0.297,0.123,0.255,17,0.221
6228,M,0.47,0.35,0.1,0.4775,0.1885,0.0885,0.175,8,0.114
6229,F,0.485,0.365,0.14,0.6195,0.2595,0.1445,0.177,14,0.183
6230,M,0.615,0.475,0.19,1.4335,0.7315,0.305,0.3285,9,0.373
6231,F,0.51,0.4,0.12,0.7005,0.347,0.1105,0.195,10,0.159
6232,M,0.6,0.46,0.17,1.1805,0.456,0.337,0.329,11,0.396
6233,I,0.235,0.175,0.055,0.067,0.027,0.0125,0.018,6,0.022
6234,I,0.35,0.26,0.075,0.18,0.09,0.0245,0.055,5,0.035
6235,M,0.545,0.41,0.14,0.625,0.223,0.16,0.235,13,0.167
6236,I,0.54,0.425,0.135,0.686,0.3475,0.1545,0.213,8,0.126
6237,M,0.38,0.235,0.1,0.258,0.1055,0.054,0.08,7,0.073
6238,I,0.14,0.105,0.035,0.0145,0.005,0.0035,0.005,4,0.005
6239,M,0.55,0.435,0.11,0.806,0.3415,0.203,0.215,9,0.25
6240,M,0.51,0.415,0.14,0.8185,0.3025,0.2155,0.235,16,0.281
6241,I,0.44,0.325,0.11,0.4965,0.258,0.1195,0.1075,8,0.131
6242,F,0.74,0.575,0.22,2.012,0.8915,0.5265,0.471,12,0.65
6243,I,0.435,0.33,0.105,0.335,0.156,0.0555,0.105,8,0.074
6244,F,0.515,0.4,0.115,0.578,0.191,0.1445,0.17,9,0.217
6245,F,0.62,0.5,0.175,1.107,0.4895,0.24,0.343,11,0.274
6246,M,0.56,0.415,0.13,0.7615,0.3695,0.17,0.1955,8,0.196
6247,I,0.435,0.345,0.12,0.4475,0.221,0.112,0.125,7,0.102
6248,I,0.545,0.43,0.15,0.742,0.3525,0.158,0.208,10,0.182
6249,I,0.18,0.13,0.045,0.0275,0.0125,0.01,0.009,3,0.006
6250,F,0.49,0.385,0.125,0.5395,0.2175,0.128,0.165,11,0.157
6251,M,0.63,0.48,0.185,1.21,0.53,0.2555,0.322,11,0.358
6252,F,0.6,0.45,0.14,0.837,0.37,0.177,0.2425,10,0.224
6253,M,0.64,0.51,0.175,1.368,0.515,0.266,0.57,21,0.283
6254,I,0.42,0.305,0.09,0.328,0.168,0.0615,0.082,6,0.078
6255,I,0.335,0.24,0.095,0.17,0.062,0.039,0.055,9,0.053
6256,I,0.53,0.42,0.13,0.8365,0.3745,0.167,0.249,11,0.213
6257,I,0.325,0.25,0.07,0.1745,0.0875,0.0355,0.04,7,0.047
6258,I,0.525,0.405,0.15,0.795,0.3075,0.205,0.255,14,0.233
6259,M,0.62,0.48,0.15,1.266,0.6285,0.2575,0.309,12,0.329
6260,F,0.5,0.4,0.125,0.5765,0.2395,0.126,0.185,10,0.152
6261,I,0.37,0.29,0.08,0.2545,0.108,0.0565,0.07,6,0.077
6262,F,0.66,0.525,0.2,1.463,0.6525,0.2995,0.422,11,0.389
6263,F,0.52,0.43,0.15,0.728,0.302,0.1575,0.235,11,0.191
6264,I,0.235,0.13,0.075,0.1585,0.0685,0.037,0.0465,5,0.043
6265,M,0.59,0.46,0.145,0.929,0.38,0.24,0.255,10,0.294
6266,M,0.52,0.4,0.12,0.58,0.234,0.1315,0.185,8,0.161
6267,M,0.58,0.46,0.165,1.2275,0.473,0.1965,0.435,16,0.32
6268,F,0.635,0.495,0.195,1.297,0.556,0.2985,0.37,11,0.371
6269,M,0.155,0.11,0.04,0.0155,0.0065,0.003,0.005,3,0.004
6270,F,0.6,0.47,0.19,1.1345,0.492,0.2595,0.3375,10,0.305
6271,F,0.565,0.44,0.15,0.863,0.435,0.149,0.27,9,0.158
6272,M,0.54,0.405,0.125,0.891,0.4815,0.1915,0.202,9,0.208
6273,M,0.615,0.475,0.205,1.337,0.5995,0.2815,0.37,11,0.367
6274,I,0.28,0.205,0.055,0.1135,0.045,0.0275,0.0335,7,0.035
6275,M,0.58,0.455,0.135,0.7955,0.405,0.167,0.204,10,0.186
6276,M,0.57,0.445,0.16,1.0145,0.516,0.164,0.3,10,0.198
6277,M,0.655,0.515,0.2,1.373,0.443,0.3375,0.49,16,0.44
6278,I,0.505,0.4,0.125,0.5605,0.2255,0.1435,0.17,8,0.165
6279,M,0.575,0.45,0.16,0.955,0.44,0.1685,0.27,16,0.245
6280,M,0.525,0.405,0.12,0.7555,0.3755,0.1555,0.201,9,0.179
6281,F,0.73,0.57,0.165,2.0165,1.0685,0.418,0.435,10,0.513
6282,F,0.61,0.495,0.19,1.213,0.464,0.306,0.365,15,0.384
6283,I,0.265,0.2,0.065,0.0975,0.04,0.0205,0.028,7,0.03
6284,I,0.26,0.2,0.07,0.092,0.037,0.02,0.03,6,0.025
6285,M,0.53,0.435,0.135,0.7365,0.3275,0.1315,0.22,12,0.189
6286,M,0.645,0.5,0.19,1.229,0.524,0.278,0.395,17,0.31
6287,I,0.455,0.375,0.12,0.497,0.2355,0.1055,0.1295,6,0.132
6288,I,0.53,0.42,0.12,0.5965,0.2555,0.141,0.177,7,0.164
6289,I,0.485,0.37,0.13,0.458,0.181,0.113,0.136,10,0.141
6290,I,0.415,0.31,0.095,0.311,0.1125,0.0625,0.115,8,0.084
6291,F,0.485,0.39,0.1,0.5565,0.2215,0.1155,0.185,9,0.15
6292,F,0.615,0.495,0.165,1.198,0.5415,0.2865,0.3185,10,0.338
6293,F,0.455,0.35,0.14,0.5185,0.221,0.1265,0.135,10,0.162
6294,M,0.655,0.525,0.16,1.46,0.686,0.311,0.405,11,0.369
6295,F,0.61,0.43,0.14,0.909,0.438,0.2,0.22,8,0.251
6296,I,0.46,0.365,0.11,0.4495,0.1755,0.102,0.15,8,0.124
6297,I,0.57,0.43,0.145,0.833,0.354,0.144,0.2815,10,0.198
6298,F,0.51,0.39,0.105,0.612,0.187,0.15,0.195,13,0.23
6299,I,0.235,0.13,0.075,0.1585,0.0685,0.037,0.0465,5,0.043
6300,F,0.68,0.55,0.175,1.798,0.815,0.3925,0.455,19,0.528
6301,I,0.495,0.4,0.105,0.602,0.2505,0.1265,0.19,8,0.161
6302,M,0.275,0.2,0.08,0.099,0.037,0.024,0.03,5,0.032
6303,M,0.545,0.435,0.165,0.9955,0.3245,0.2665,0.325,19,0.346
6304,I,0.5,0.385,0.12,0.56,0.2835,0.103,0.135,8,0.142
6305,M,0.59,0.48,0.16,1.262,0.5685,0.2725,0.335,9,0.358
6306,F,0.62,0.49,0.16,1.056,0.493,0.244,0.2725,9,0.291
6307,I,0.36,0.25,0.115,0.465,0.21,0.1055,0.128,7,0.127
6308,I,0.475,0.365,0.115,0.499,0.232,0.0885,0.156,10,0.111
6309,F,0.6,0.475,0.155,1.059,0.441,0.19,0.39,11,0.228
6310,M,0.595,0.475,0.16,1.3175,0.408,0.234,0.58,21,0.33
6311,M,0.515,0.39,0.14,0.678,0.341,0.1325,0.119,8,0.218
6312,I,0.54,0.425,0.13,0.7205,0.2955,0.169,0.225,10,0.2
6313,I,0.56,0.425,0.145,0.688,0.3095,0.1305,0.2165,9,0.162
6314,I,0.53,0.405,0.12,0.632,0.2715,0.148,0.1875,9,0.173
6315,F,0.55,0.45,0.15,0.875,0.362,0.1755,0.2765,10,0.236
6316,I,0.525,0.405,0.125,0.657,0.2985,0.1505,0.168,10,0.191
6317,I,0.45,0.36,0.125,0.45,0.191,0.0865,0.145,12,0.114
6318,F,0.635,0.5,0.18,1.312,0.529,0.2485,0.485,18,0.298
6319,M,0.63,0.48,0.15,1.1785,0.5185,0.248,0.3235,8,0.337
6320,F,0.585,0.42,0.155,1.034,0.437,0.2225,0.32,11,0.277
6321,M,0.62,0.48,0.15,1.1015,0.4965,0.243,0.305,10,0.3
6322,M,0.56,0.45,0.185,1.07,0.3805,0.175,0.41,19,0.28
6323,M,0.57,0.445,0.14,1.0635,0.5265,0.2195,0.24,8,0.297
6324,F,0.7,0.575,0.205,1.7975,0.7295,0.3935,0.5165,13,0.552
6325,M,0.64,0.515,0.08,1.042,0.515,0.1755,0.175,10,0.352
6326,M,0.45,0.35,0.13,0.4655,0.2075,0.1045,0.135,8,0.123
6327,M,0.62,0.485,0.155,1.049,0.462,0.231,0.25,10,0.337
6328,F,0.58,0.46,0.175,1.165,0.65,0.2205,0.3055,9,0.21
6329,M,0.5,0.375,0.13,0.721,0.3055,0.1725,0.22,14,0.195
6330,F,0.58,0.46,0.18,1.0515,0.4095,0.2595,0.276,8,0.366
6331,F,0.585,0.435,0.14,0.6955,0.3085,0.129,0.2245,8,0.163
6332,I,0.52,0.39,0.14,0.7325,0.2415,0.144,0.26,19,0.231
6333,F,0.52,0.405,0.125,0.6435,0.2415,0.1735,0.21,12,0.192
6334,F,0.625,0.485,0.16,1.254,0.591,0.259,0.3485,9,0.315
6335,M,0.6,0.475,0.16,1.164,0.5045,0.2635,0.335,12,0.324
6336,F,0.695,0.535,0.175,1.8385,0.8035,0.396,0.503,10,0.532
6337,I,0.375,0.3,0.075,0.144,0.059,0.03,0.044,7,0.041
6338,F,0.53,0.435,0.17,0.8155,0.2985,0.155,0.275,13,0.242
6339,M,0.555,0.405,0.19,1.406,0.6115,0.342,0.389,10,0.405
6340,M,0.39,0.28,0.125,0.564,0.3035,0.0955,0.143,7,0.117
6341,I,0.4,0.31,0.115,0.314,0.1545,0.0595,0.087,6,0.073
6342,M,0.545,0.415,0.14,0.82,0.4615,0.127,0.218,9,0.14
6343,M,0.58,0.46,0.15,1.049,0.5205,0.1935,0.305,10,0.223
6344,F,0.61,0.47,0.145,1.153,0.403,0.296,0.32,14,0.43
6345,F,0.58,0.425,0.155,0.873,0.3615,0.249,0.239,10,0.273
6346,I,0.535,0.41,0.13,0.6075,0.268,0.1225,0.1975,9,0.142
6347,F,0.44,0.345,0.105,0.4285,0.165,0.083,0.132,11,0.131
6348,M,0.425,0.33,0.08,0.361,0.134,0.0825,0.125,7,0.102
6349,F,0.5,0.375,0.115,0.5945,0.185,0.148,0.19,11,0.22
6350,M,0.465,0.34,0.105,0.486,0.231,0.1035,0.1225,9,0.133
6351,F,0.57,0.435,0.15,0.8295,0.3875,0.156,0.245,10,0.197
6352,I,0.485,0.415,0.14,0.5705,0.25,0.134,0.185,8,0.136
6353,F,0.7,0.585,0.185,1.8075,0.7055,0.3215,0.475,29,0.627
6354,F,0.555,0.425,0.14,0.788,0.282,0.1595,0.285,11,0.221
6355,F,0.615,0.465,0.15,0.923,0.4615,0.1825,0.2415,9,0.22
6356,M,0.63,0.485,0.145,1.062,0.5065,0.1785,0.3365,12,0.219
6357,F,0.525,0.43,0.135,0.8435,0.4325,0.18,0.1815,9,0.23
6358,M,0.615,0.5,0.17,1.054,0.4845,0.228,0.295,10,0.275
6359,M,0.58,0.465,0.145,0.887,0.4405,0.1655,0.265,11,0.181
6360,F,0.6,0.47,0.15,0.922,0.363,0.194,0.305,10,0.254
6361,M,0.59,0.47,0.18,1.1235,0.4205,0.2805,0.36,13,0.343
6362,I,0.39,0.28,0.09,0.215,0.0845,0.034,0.079,8,0.052
6363,I,0.31,0.225,0.075,0.155,0.065,0.037,0.0365,6,0.053
6364,F,0.575,0.42,0.19,1.764,0.914,0.377,0.4095,10,0.441
6365,M,0.515,0.405,0.145,0.695,0.215,0.1635,0.234,15,0.246
6366,F,0.46,0.375,0.12,0.4605,0.1775,0.11,0.15,7,0.133
6367,M,0.52,0.385,0.115,0.669,0.2385,0.172,0.205,12,0.226
6368,I,0.475,0.365,0.14,0.4545,0.171,0.118,0.158,8,0.125
6369,M,0.615,0.47,0.155,1.2,0.5085,0.32,0.292,8,0.4
6370,F,0.515,0.415,0.13,0.764,0.276,0.196,0.25,13,0.238
6371,M,0.58,0.455,0.15,1.012,0.4985,0.2115,0.2835,10,0.23
6372,M,0.685,0.535,0.175,1.432,0.637,0.247,0.46,11,0.335
6373,F,0.61,0.48,0.16,1.234,0.598,0.238,0.315,12,0.321
6374,F,0.465,0.375,0.135,0.6,0.2225,0.129,0.23,16,0.147
6375,I,0.52,0.38,0.135,0.5395,0.2295,0.133,0.157,8,0.153
6376,F,0.66,0.5,0.165,1.1905,0.4585,0.298,0.37,12,0.362
6377,I,0.165,0.12,0.03,0.0215,0.007,0.005,0.005,3,0.009
6378,I,0.42,0.325,0.115,0.354,0.1625,0.064,0.105,8,0.086
6379,F,0.675,0.55,0.18,1.6885,0.562,0.3705,0.6,15,0.526
6380,M,0.515,0.405,0.145,0.695,0.215,0.1635,0.234,15,0.246
6381,I,0.47,0.355,0.125,0.499,0.21,0.0985,0.155,8,0.134
6382,F,0.34,0.255,0.085,0.204,0.097,0.021,0.05,6,0.057
6383,F,0.515,0.435,0.17,0.631,0.2765,0.111,0.216,12,0.138
6384,M,0.595,0.48,0.185,1.1785,0.526,0.2975,0.314,10,0.339
6385,I,0.495,0.38,0.145,0.5,0.205,0.148,0.1505,8,0.145
6386,M,0.645,0.52,0.175,1.561,0.709,0.3555,0.4,8,0.452
6387,M,0.475,0.365,0.14,0.6175,0.202,0.1445,0.19,16,0.226
6388,F,0.66,0.53,0.185,1.3485,0.493,0.245,0.49,12,0.366
6389,I,0.59,0.45,0.145,1.022,0.428,0.268,0.265,10,0.329
6390,I,0.52,0.4,0.11,0.597,0.2935,0.1155,0.16,8,0.143
6391,M,0.56,0.43,0.155,0.8675,0.4,0.172,0.229,8,0.239
6392,I,0.45,0.355,0.115,0.4385,0.184,0.108,0.1125,11,0.142
6393,M,0.535,0.405,0.14,0.818,0.402,0.1715,0.189,7,0.227
6394,I,0.55,0.425,0.135,0.656,0.257,0.17,0.203,10,0.196
6395,F,0.74,0.6,0.195,1.974,0.598,0.4085,0.71,16,0.666
6396,M,0.485,0.39,0.135,0.617,0.25,0.1345,0.1635,8,0.203
6397,F,0.575,0.465,0.195,0.9965,0.417,0.247,0.47,8,0.11
6398,F,0.64,0.515,0.165,1.3115,0.4945,0.2555,0.41,10,0.407
6399,F,0.55,0.47,0.15,0.9205,0.381,0.2435,0.2675,10,0.272
6400,F,0.675,0.51,0.195,1.382,0.6045,0.3175,0.3965,10,0.381
6401,I,0.505,0.4,0.145,0.7045,0.334,0.1425,0.207,8,0.164
6402,M,0.56,0.43,0.145,0.8995,0.464,0.1775,0.234,9,0.201
6403,F,0.68,0.56,0.195,1.664,0.58,0.3855,0.545,11,0.539
6404,M,0.585,0.465,0.19,1.171,0.3905,0.2355,0.4,17,0.38
6405,F,0.43,0.35,0.09,0.397,0.1575,0.089,0.12,9,0.12
6406,M,0.635,0.48,0.19,1.467,0.5825,0.303,0.42,15,0.465
6407,F,0.39,0.3,0.1,0.265,0.1075,0.06,0.0865,13,0.071
6408,I,0.32,0.255,0.1,0.1755,0.073,0.0415,0.065,7,0.037
6409,M,0.56,0.42,0.15,0.8755,0.44,0.1965,0.2315,8,0.204
6410,F,0.6,0.48,0.15,1.029,0.4085,0.2705,0.295,16,0.325
6411,I,0.355,0.28,0.085,0.2905,0.095,0.0395,0.115,7,0.08
6412,M,0.4,0.31,0.11,0.314,0.138,0.057,0.1,11,0.076
6413,F,0.655,0.515,0.18,1.412,0.6195,0.2485,0.497,11,0.295
6414,M,0.26,0.2,0.065,0.096,0.044,0.027,0.03,6,0.022
6415,M,0.55,0.45,0.175,1.0985,0.3765,0.215,0.4,14,0.322
6416,F,0.705,0.545,0.17,1.58,0.6435,0.4565,0.265,11,0.672
6417,M,0.325,0.24,0.075,0.155,0.0475,0.0355,0.06,9,0.048
6418,F,0.525,0.425,0.145,0.7995,0.3345,0.209,0.24,15,0.225
6419,M,0.51,0.395,0.125,0.5805,0.244,0.1335,0.188,11,0.149
6420,I,0.56,0.455,0.145,0.974,0.547,0.1615,0.235,9,0.192
6421,I,0.465,0.37,0.12,0.4365,0.188,0.0815,0.147,9,0.102
6422,M,0.59,0.5,0.15,1.142,0.485,0.265,0.345,9,0.312
6423,I,0.315,0.235,0.07,0.149,0.058,0.0325,0.047,7,0.044
6424,M,0.61,0.485,0.16,1.0145,0.5315,0.212,0.2415,8,0.241
6425,I,0.58,0.435,0.15,0.8915,0.363,0.1925,0.2515,6,0.277
6426,M,0.49,0.395,0.14,0.549,0.2215,0.1275,0.15,11,0.178
6427,M,0.695,0.57,0.23,1.885,0.8665,0.435,0.5,19,0.518
6428,M,0.515,0.455,0.135,0.7225,0.295,0.1625,0.235,9,0.193
6429,M,0.52,0.41,0.115,0.77,0.263,0.157,0.26,11,0.247
6430,F,0.465,0.39,0.14,0.5555,0.213,0.1075,0.215,15,0.128
6431,M,0.365,0.285,0.085,0.2205,0.0855,0.0515,0.07,9,0.065
6432,I,0.445,0.345,0.105,0.409,0.1675,0.1015,0.117,7,0.124
6433,I,0.46,0.335,0.11,0.444,0.225,0.0745,0.11,8,0.109
6434,F,0.655,0.52,0.175,1.472,0.6275,0.27,0.45,13,0.395
6435,M,0.545,0.45,0.15,0.978,0.3365,0.1905,0.3,11,0.341
6436,M,0.67,0.51,0.2,1.5945,0.6705,0.3845,0.4505,10,0.474
6437,I,0.37,0.275,0.085,0.2045,0.096,0.056,0.08,6,0.028
6438,M,0.65,0.495,0.16,1.304,0.57,0.312,0.3725,9,0.362
6439,I,0.375,0.285,0.08,0.226,0.0975,0.04,0.0725,7,0.056
6440,F,0.68,0.52,0.185,1.494,0.615,0.3935,0.406,11,0.473
6441,F,0.63,0.475,0.15,1.172,0.536,0.254,0.316,11,0.32
6442,I,0.58,0.46,0.14,0.8295,0.3915,0.165,0.238,10,0.2
6443,M,0.59,0.445,0.14,0.931,0.356,0.234,0.28,12,0.295
6444,M,0.59,0.44,0.15,0.9555,0.366,0.2425,0.295,11,0.295
6445,M,0.625,0.49,0.165,1.205,0.5175,0.3105,0.3465,10,0.341
6446,F,0.655,0.525,0.175,1.348,0.5855,0.2605,0.394,10,0.369
6447,I,0.47,0.37,0.11,0.5555,0.25,0.115,0.163,8,0.142
6448,F,0.8,0.63,0.195,2.526,0.933,0.59,0.62,23,0.973
6449,F,0.525,0.39,0.135,0.6005,0.2265,0.131,0.21,16,0.164
6450,M,0.68,0.52,0.165,1.4775,0.724,0.279,0.406,11,0.348
